Date,Time,Sensor T-H-G,Location,Value
09/03/19,21:50,23/5/45,5/43,10/*/x 13/?/y
09/03/19,22:00,23/5/45,5/43,10/*/x 13/?/y
09/03/19,22:10,23/5/45,5/43,10/*/x 13/?/y
09/03/19,22:20,23/5/45,5/43,10/*/x 13/?/y
09/03/19,22:30,23/5/45,5/43,10/*/x 13/?/y
09/03/19,22:40,23/5/45,5/43,10/*/x 13/?/y
09/03/19,22:50,23/5/45,5/43,10/*/x 13/?/y
09/03/19,23:00,23/5/45,5/43,10/*/x 13/?/y
09/03/19,23:10,23/5/45,5/43,10/*/x 13/?/y
09/03/19,23:20,23/5/45,5/43,10/*/x 13/?/y
09/03/19,23:30,23/5/45,5/43,10/*/x 13/?/y
09/03/19,23:40,23/5/45,5/43,10/*/x 13/?/y
09/03/19,23:50,23/5/45,5/43,10/*/x 13/?/y
10/03/19,00:00,23/5/45,5/43,10/*/x 13/?/y
10/03/19,00:10,23/5/45,5/43,10/*/x 13/?/y
10/03/19,00:20,23/5/45,5/43,10/*/x 13/?/y
10/03/19,00:30,23/5/45,5/43,10/*/x 13/?/y
10/03/19,00:40,23/5/45,5/43,10/*/x 13/?/y
10/03/19,00:50,23/5/45,5/43,10/*/x 13/?/y
10/03/19,01:00,23/5/45,5/43,10/*/x 13/?/y
10/03/19,01:10,23/5/45,5/43,10/*/x 13/?/y
10/03/19,01:20,23/5/45,5/43,1/*/x 11/?/y
10/03/19,01:30,23/5/45,5/43,
10/03/19,01:40,23/5/45,5/43,
10/03/19,01:50,23/5/45,5/43,
10/03/19,02:00,23/5/45,5/43,
10/03/19,02:10,23/5/45,5/43,
10/03/19,02:20,23/5/45,5/43,
10/03/19,02:30,23/5/45,5/43,
10/03/19,02:40,23/5/45,5/43,
10/03/19,02:50,23/5/45,5/43,
10/03/19,03:00,23/5/45,5/43,
10/03/19,03:10,23/5/45,5/43,
10/03/19,03:20,23/5/45,5/43,
10/03/19,03:30,23/5/45,5/43,
10/03/19,03:40,23/5/45,5/43,
10/03/19,03:50,23/5/45,5/43,
10/03/19,04:00,23/5/45,5/43,
10/03/19,04:10,23/5/45,5/43,
10/03/19,04:20,23/5/45,5/43,
10/03/19,04:30,23/5/45,5/43,
10/03/19,04:40,23/5/45,5/43,
10/03/19,04:50,23/5/45,5/43,
10/03/19,05:00,23/5/45,5/43,
10/03/19,05:10,23/5/45,5/43,
10/03/19,05:20,23/5/45,5/43,
10/03/19,05:30,23/5/45,5/43,
10/03/19,05:40,23/5/45,5/43,
10/03/19,05:50,23/5/45,5/43,
10/03/19,06:00,23/5/45,5/43,
10/03/19,06:10,23/5/45,5/43,
10/03/19,06:20,23/5/45,5/43,
10/03/19,06:30,23/5/45,5/43,
